ArticleEntity,1_Party,2_Party,Candidate,Votes,%,Â±
Q4823761,,Q216082,Q8012328,,,
Q4823761,,Q216082,Q118051,,,
Q4823761,,Q1324190,Q6132824,,,
Q4823761,,Q216082,Q6143638,,,
Q4823761,,Q1453449,Q6232973,,,
Q4823761,,Q1324190,Q7790057,,,
Q4823761,,Q1324190,Q4757548,,,
Q4823761,,Q1324190,Q6220926,,,
Q4823761,,Q1324190,Q13520204,,,
Q4823761,,Q1324190,Q4722493,,,
Q4823761,,Q1324190,Q5339744,,,
Q4823761,,Q1324190,Q16030649,,,
Q4823761,,Q327591,Q6239766,,,
Q4823761,,Q1324190,Q5240388,,,
Q4823761,,Q1453449,Q6280927,,,
Q4823761,,Q1324190,Q5078761,,,
Q4823761,Q1339847,Q1339847,Q1339847,,,
Q4823761,,Q1324190,,,,
Q4823761,,Q216082,,,,
Q4823761,,Q1453449,,,,
Q4823761,,Q327591,,,,